nacionalidad,cod_nacionalidad
AFGANA,93
ALBANESA ARNAUTE,355
ALEMANA,49
ANDORRANA,376
ANGOLE„A,244
ANTIGUA,1268
ANTILLAS HOLANDESAS,599
ARABE SAUDITA,966
ARGELINA,213
ARGENTINA,54
ARGENTINA NATURALIZADO/A,9999
ARGENTINA POR OPCION,9998
ARMENIA,374
AUSTRALIANA,61
AUSTRIACA,43
AZERBAIYANA,994
BAHAMESA,1242
BARBADENSE,1246
BELARUSA,375
BELGA,32
BELISE„A,501
BENGALI,880
BENINES,229
BHUTANESA,975
BOLIVIANA,591
BOSNIA,387
BOTSWANESA,267
BRASILE„A,55
BRITANICA,44
BRUNEI,673
BULGARA,359
BURKINABE,226
BURUNDIANA,257
CABO VERDIANA,238
CAMBOYANA,855
CAMERUNES,237
CAMORO,269
CANADIENSE,2
CENTROAFRICANA,236
CHADIANA,235
CHECA,420
CHILENA,56
CHINA,86
CHIPRIOTA,357
COLOMBIANA,57
CONGOLESA,242
CONGOLESA - REP DEMOC.,243
COSTARRICENSE,506
CROATA,385
CUBANA,53
DANESA,45
DJIBOUTI,253
DOMINICA,1767
DOMINICANA,4
ECUATORIANA,593
EGIPCIA,20
EMIRATI,971
ERITREANA,291
ESLOVACA,421
ESLOVENA,386
ESPA„OLA,34
ESTADO DE BAHREIN,973
ESTADOUNIDENSE,1
ESTONIA,372
ETIOPE,251
FED TRINIDAD Y TOBAGO,868
FIDJIANA,679
FILIPINA,63
FINLANDESA - FINESA,358
FRANCESA,33
GABONESA,241
GAMBIANA,220
GEORGIANA,995
GHANESA,233
GRANADINA,1473
GRIEGA,30
GUATEMALTECA,502
GUINEA BISSAUNA,245
GUINEANA,224
GUINEO-GUINEANA ECUAT.,240
GUYANA FRANCESA,594
GUYANESA,592
HAITIANA,509
HOLANDESA-NEERLANDESA,31
HONDURE„A,504
HUNGARA,36
INDIO,91
INDONESA,62
IRANI,98
IRAQUI - IRAQUES,964
IRLANDESA,353
ISLA NORFOLK,672
ISLANDESA,354
ISLAS MARSHALL,692
ISRAELITA,972
ITALIANA,39
JAMAIQUINA,5
JAPONESA,81
JORDANA,962
KATARI,974
KAZAKA,77
KENIATA,254
KIRGUISTANA - KIRGHIZIA,996
KIRIBATI,686
KUWAITI,965
LAOSIANA,856
LESOTHO,266
LETONA,371
LIBANESA,961
LIBERIANA,231
LIBIA,218
LIECHTENSTIENSE,423
LITUANA,370
LUXEMBURGUESA,352
MACAO,853
MACEDONIA,389
MALAWIANO,265
MALAYA,223
MALDIVA,960
MALGACHE - MALGASY,261
MALIENSE,60
MALTESA,356
MARFILE„O,225
MARROQUI,212
MARTINICA,596
MAURICIANA,230
MAURITANA,222
MEJICANA,52
MICRONESA,691
MOLDAVIA,373
MONEGASCA,377
MONGOLA,976
MONTENEGRINO,382
MOZAMBIQUE„A,258
MYANMAR,95
NAMIBIANA,264
NAURUANA,674
NEOCALEDONIO,687
NEOCELANDESA,64
NEPALES,977
NICARAG†ENSE,505
NIGERIANA,234
NIGERINA,227
NORCOREANA,850
NORUEGA,47
PAKISTANA-PAQUISTANI,92
PALAUE„A,680
PALESTINA,970
PANAME„A,507
PAPUA,675
PARAGUAYA,595
PERUANA,51
POLACA,48
POLINESA,689
PORTORRIQUE„A,3
PORTUGUESA,351
REUNION,262
RUANDESA,250
RUMANA,40
RUSA,7
SAINT KITTS Y NEVIS,1869
SALVADORE„A,503
SAMOANA,685
SANMARINENSE,378
SANTA ELENA,290
SANTALUCENSE,1758
SANTOTOMENSE,239
SEDANESA DEL SUR,283
SENEGALESA,221
SERBIA,381
SEYCHELLA„A,248
SIERRALEONESA,232
SINGAPORENSE,65
SIRIA,963
SOLOMONENSE,677
SOMALI,252
SRI LANKA (CEILANDESA),94
SUAZI,268
SUDAFRICANA,27
SUDANESA,249
SUECA,46
SUIZA,41
SULT. OMAN Y MASCATE,968
SURCOREANA,82
SURINAM(EX GUYANA H.),597
SV GRANADINAS.,1784
TADJIKISTANA,992
TAILANDESA,66
TAIWANESA,886
TANZANIANA,255
TIMORENSE,670
TOGOLESA,228
TOKELAUANA,690
TONGANA,676
TUNECINA,216
TURCA,90
TURCOMANA,993
TUVALU,688
UCRANIANA,380
UGANDESA,256
URUGUAYA,598
UZBEKA,998
VANATUENSE,678
VATICANA,379
VENEZOLANA,58
VIETNAMITA,84
YEMENITA,967
ZAMBIANA,260
ZIMBAWENSE,263
